DATE,YEAR,SITE,OBSERVERS,QUADSIZE,QUAD,rock_percent,patiria_min,pisaster_gig,henricia_spp,dermasterias_imb,orthasterias_koe,pycnopodia_hel,pisaster_bre
2019-07-02,2019,OTTR,"Michael Burnett, Taylor Hughes",10,1,80,6,1,1,1,0,0,0
2019-07-02,2019,OTTR,"Michael Burnett, Taylor Hughes",10,2,90,5,1,2,0,0,0,0
2019-07-02,2019,OTTR,"Michael Burnett, Taylor Hughes",10,3,80,7,0,0,0,0,0,0
2019-07-02,2019,OTTR,"Michael Burnett, Taylor Hughes",10,4,70,5,0,0,0,0,0,0
2019-07-02,2019,OTTR,"Michael Burnett, Taylor Hughes",10,5,90,4,0,1,0,0,0,0
2019-07-02,2019,OTTR,"Michael Burnett, Taylor Hughes",10,6,90,9,1,1,0,0,0,0
2019-07-02,2019,OTTR,"Michael Burnett, Taylor Hughes",10,7,100,2,1,0,0,0,0,0
2019-07-02,2019,OTTR,"Michael Burnett, Taylor Hughes",10,8,90,8,0,0,0,0,0,0
2019-07-02,2019,OTTR,"Peter SHUM, Jennifer YIN",10,1,80,7,0,2,1,0,0,0
2019-07-02,2019,OTTR,"Peter SHUM, Jennifer YIN",10,2,70,7,0,0,0,0,0,0
2019-07-02,2019,OTTR,"Peter SHUM, Jennifer YIN",10,3,90,6,0,1,1,0,0,0
2019-07-02,2019,HMLR,"Michael Burnett, Taylor Hughes",10,1,NA,4,0,0,0,0,0,0
2019-07-02,2019,HMLR,"Michael Burnett, Taylor Hughes",10,2,NA,0,0,0,0,0,0,0
2019-07-02,2019,HMLR,"Michael Burnett, Taylor Hughes",10,3,50,3,0,0,0,0,0,0
2019-07-02,2019,HMLR,"Michael Burnett, Taylor Hughes",10,4,NA,1,0,0,0,0,0,0
2019-07-02,2019,HMLR,"Michael Burnett, Taylor Hughes",10,5,NA,1,0,0,0,0,0,0
2019-07-02,2019,HMLR,"Michael Burnett, Taylor Hughes",10,6,NA,0,0,0,0,0,0,0
2019-07-02,2019,HMLR,"Michael Burnett, Taylor Hughes",10,7,NA,5,0,0,0,0,0,0
2019-07-02,2019,HMLR,"Michael Burnett, Taylor Hughes",10,8,NA,4,1,0,0,0,0,0
2019-07-02,2019,HMLR,"Hanna Payne, Jim Rymarcsuk",10,1,100,3,1,0,0,0,0,0
2019-07-02,2019,HMLR,"Hanna Payne, Jim Rymarcsuk",10,2,100,1,0,0,0,0,0,0
2019-07-02,2019,HMLR,"Hanna Payne, Jim Rymarcsuk",10,3,100,2,0,0,0,0,0,0
2019-07-02,2019,HMLR,"Hanna Payne, Jim Rymarcsuk",10,4,50,0,0,0,0,0,0,0
2019-07-02,2019,HMLR,"Hanna Payne, Jim Rymarcsuk",10,5,100,3,0,0,0,0,0,0
2019-07-02,2019,HMLR,"Hanna Payne, Jim Rymarcsuk",10,6,100,4,0,0,0,0,0,0
2019-07-02,2019,OTTR,"Hanna Payne, Jim Rymarcsuk",10,1,70,12,0,0,0,0,0,0
2019-07-02,2019,OTTR,"Hanna Payne, Jim Rymarcsuk",10,2,100,6,0,1,0,0,0,0
2019-07-02,2019,OTTR,"Hanna Payne, Jim Rymarcsuk",10,3,100,3,0,0,1,0,0,0
2019-07-02,2019,OTTR,"Hanna Payne, Jim Rymarcsuk",10,4,70,9,0,0,1,0,0,0
2019-07-02,2019,OTTR,"Hanna Payne, Jim Rymarcsuk",10,5,100,4,0,0,0,0,0,0
2019-07-02,2019,OTTR,"Samantha Andrzejaczek, David Stentiford",10,1,50,3,0,0,0,0,0,0
2019-07-02,2019,OTTR,"Samantha Andrzejaczek, David Stentiford",10,2,90,2,0,2,0,0,0,0
2019-07-02,2019,OTTR,"Samantha Andrzejaczek, David Stentiford",10,3,80,3,0,3,0,0,0,0
2019-07-02,2019,OTTR,"Samantha Andrzejaczek, David Stentiford",10,4,30,5,0,0,0,0,0,0
2019-07-02,2019,OTTR,"Samantha Andrzejaczek, David Stentiford",10,5,95,4,0,1,0,0,0,0
2019-07-02,2019,OTTR,"Samantha Andrzejaczek, David Stentiford",10,6,100,12,1,2,0,0,0,0
2019-07-02,2019,OTTR,"Samantha Andrzejaczek, David Stentiford",10,7,100,10,2,3,0,0,0,0
2019-07-02,2019,OTTR,"Samantha Andrzejaczek, David Stentiford",10,8,80,7,1,3,0,0,0,0
2019-07-02,2019,OTTR,"Samantha Andrzejaczek, David Stentiford",10,9,55,11,0,0,0,0,0,0
2019-07-02,2019,HMLR,"Samantha Andrzejaczek, David Stentiford",10,1,NA,5,0,0,0,0,0,0
2019-07-02,2019,HMLR,"Samantha Andrzejaczek, David Stentiford",10,2,90,4,0,1,0,0,0,0
2019-07-02,2019,HMLR,"Samantha Andrzejaczek, David Stentiford",10,3,100,0,0,0,0,0,0,0
2019-07-02,2019,HMLR,"Samantha Andrzejaczek, David Stentiford",10,4,100,0,0,0,0,0,0,0
2019-07-02,2019,HMLR,"Samantha Andrzejaczek, David Stentiford",10,5,50,4,0,1,0,0,0,0
2019-07-02,2019,HMLR,"Samantha Andrzejaczek, David Stentiford",10,6,NA,5,0,0,0,0,0,0
2019-07-02,2019,HMLR,"Samantha Andrzejaczek, David Stentiford",10,7,50,1,0,0,0,0,0,0
2019-07-02,2019,HMLR,"Samantha Andrzejaczek, David Stentiford",10,8,75,3,0,0,0,0,0,0
